arm,omega,band_k,period_drive_steps,tau_drive_steps,samples_per_period,aliased,seed,n,ipc
B-drive,0.3338,4,18.8232,9.986,4.7058,0,20260830,350,6.381
A-readout,0.3338,6,18.8232,9.986,3.1372,0,20260830,350,2.173
B-drive,0.3338,6,18.8232,9.986,3.1372,0,20260830,350,6.129
A-readout,0.3338,8,18.8232,9.986,2.3529,0,20260830,350,1.755
B-drive,0.3338,8,18.8232,9.986,2.3529,0,20260830,350,4.616
A-readout,0.3338,12,18.8232,9.986,1.5686,1,20260830,350,1.535
B-drive,0.3338,12,18.8232,9.986,1.5686,1,20260830,350,3.844
A-readout,0.3338,16,18.8232,9.986,1.1765,1,20260830,350,0.987
B-drive,0.3338,16,18.8232,9.986,1.1765,1,20260830,350,3.534
A-readout,0.4311,1,14.5748,7.7322,14.5748,0,20260830,350,3.33
B-drive,0.4311,1,14.5748,7.7322,14.5748,0,20260830,350,3.33
A-readout,0.4311,2,14.5748,7.7322,7.2874,0,20260830,350,3.023
B-drive,0.4311,2,14.5748,7.7322,7.2874,0,20260830,350,5.039
A-readout,0.4311,3,14.5748,7.7322,4.8583,0,20260830,350,3.257
B-drive,0.4311,3,14.5748,7.7322,4.8583,0,20260830,350,6.29
A-readout,0.4311,4,14.5748,7.7322,3.6437,0,20260830,350,1.847
B-drive,0.4311,4,14.5748,7.7322,3.6437,0,20260830,350,6.499
A-readout,0.4311,6,14.5748,7.7322,2.4291,0,20260830,350,2.219
B-drive,0.4311,6,14.5748,7.7322,2.4291,0,20260830,350,4.716
A-readout,0.4311,8,14.5748,7.7322,1.8218,1,20260830,350,1.806
B-drive,0.4311,8,14.5748,7.7322,1.8218,1,20260830,350,4.081
A-readout,0.4311,12,14.5748,7.7322,1.2146,1,20260830,350,1.703
B-drive,0.4311,12,14.5748,7.7322,1.2146,1,20260830,350,3.59
A-readout,0.4311,16,14.5748,7.7322,0.9109,1,20260830,350,1.063
B-drive,0.4311,16,14.5748,7.7322,0.9109,1,20260830,350,2.795
A-readout,0.5567,1,11.2865,5.9877,11.2865,0,20260830,350,4.511
B-drive,0.5567,1,11.2865,5.9877,11.2865,0,20260830,350,4.511
A-readout,0.5567,2,11.2865,5.9877,5.6432,0,20260830,350,2.903
B-drive,0.5567,2,11.2865,5.9877,5.6432,0,20260830,350,5.781
A-readout,0.5567,3,11.2865,5.9877,3.7622,0,20260830,350,3.553
B-drive,0.5567,3,11.2865,5.9877,3.7622,0,20260830,350,6.541
A-readout,0.5567,4,11.2865,5.9877,2.8216,0,20260830,350,1.84
B-drive,0.5567,4,11.2865,5.9877,2.8216,0,20260830,350,5.56
A-readout,0.5567,6,11.2865,5.9877,1.8811,1,20260830,350,2.251
B-drive,0.5567,6,11.2865,5.9877,1.8811,1,20260830,350,4.133
A-readout,0.5567,8,11.2865,5.9877,1.4108,1,20260830,350,1.576
B-drive,0.5567,8,11.2865,5.9877,1.4108,1,20260830,350,3.669
A-readout,0.5567,12,11.2865,5.9877,0.9405,1,20260830,350,1.565
B-drive,0.5567,12,11.2865,5.9877,0.9405,1,20260830,350,2.872
A-readout,0.5567,16,11.2865,5.9877,0.7054,1,20260830,350,1.136
B-drive,0.5567,16,11.2865,5.9877,0.7054,1,20260830,350,2.16
A-readout,0.719,1,8.7388,4.6361,8.7388,0,20260830,350,5.019
B-drive,0.719,1,8.7388,4.6361,8.7388,0,20260830,350,5.019
A-readout,0.719,2,8.7388,4.6361,4.3694,0,20260830,350,3.284
B-drive,0.719,2,8.7388,4.6361,4.3694,0,20260830,350,6.667
A-readout,0.719,3,8.7388,4.6361,2.9129,0,20260830,350,3.574
B-drive,0.719,3,8.7388,4.6361,2.9129,0,20260830,350,5.662
A-readout,0.719,4,8.7388,4.6361,2.1847,0,20260830,350,1.918
B-drive,0.719,4,8.7388,4.6361,2.1847,0,20260830,350,4.493
A-readout,0.719,6,8.7388,4.6361,1.4565,1,20260830,350,1.982
B-drive,0.719,6,8.7388,4.6361,1.4565,1,20260830,350,3.694
A-readout,0.719,8,8.7388,4.6361,1.0923,1,20260830,350,1.292
B-drive,0.719,8,8.7388,4.6361,1.0923,1,20260830,350,3.206
A-readout,0.719,12,8.7388,4.6361,0.7282,1,20260830,350,1.331
B-drive,0.719,12,8.7388,4.6361,0.7282,1,20260830,350,2.266
A-readout,0.719,16,8.7388,4.6361,0.5462,1,20260830,350,0.908
B-drive,0.719,16,8.7388,4.6361,0.5462,1,20260830,350,1.454
A-readout,0.9285,1,6.767,3.59,6.767,0,20260830,350,5.306
B-drive,0.9285,1,6.767,3.59,6.767,0,20260830,350,5.306
A-readout,0.9285,2,6.767,3.59,3.3835,0,20260830,350,3.014
B-drive,0.9285,2,6.767,3.59,3.3835,0,20260830,350,6.196
A-readout,0.9285,3,6.767,3.59,2.2557,0,20260830,350,3.46
B-drive,0.9285,3,6.767,3.59,2.2557,0,20260830,350,4.567
A-readout,0.9285,4,6.767,3.59,1.6918,1,20260830,350,1.614
B-drive,0.9285,4,6.767,3.59,1.6918,1,20260830,350,3.783
A-readout,0.9285,6,6.767,3.59,1.1278,1,20260830,350,1.732
B-drive,0.9285,6,6.767,3.59,1.1278,1,20260830,350,3.275
A-readout,0.9285,8,6.767,3.59,0.8459,1,20260830,350,1.242
B-drive,0.9285,8,6.767,3.59,0.8459,1,20260830,350,2.571
A-readout,0.9285,12,6.767,3.59,0.5639,1,20260830,350,1.006
B-drive,0.9285,12,6.767,3.59,0.5639,1,20260830,350,1.466
A-readout,0.9285,16,6.767,3.59,0.4229,1,20260830,350,0.668
B-drive,0.9285,16,6.767,3.59,0.4229,1,20260830,350,1.396
A-readout,1.1992,1,5.2395,2.7796,5.2395,0,20260830,350,6.343
B-drive,1.1992,1,5.2395,2.7796,5.2395,0,20260830,350,6.343
A-readout,1.1992,2,5.2395,2.7796,2.6197,0,20260830,350,3.135
B-drive,1.1992,2,5.2395,2.7796,2.6197,0,20260830,350,5.048
A-readout,1.1992,3,5.2395,2.7796,1.7465,1,20260830,350,2.863
B-drive,1.1992,3,5.2395,2.7796,1.7465,1,20260830,350,3.777
A-readout,1.1992,4,5.2395,2.7796,1.3099,1,20260830,350,1.681
B-drive,1.1992,4,5.2395,2.7796,1.3099,1,20260830,350,3.529
A-readout,1.1992,6,5.2395,2.7796,0.8732,1,20260830,350,1.219
B-drive,1.1992,6,5.2395,2.7796,0.8732,1,20260830,350,2.587
A-readout,1.1992,8,5.2395,2.7796,0.6549,1,20260830,350,1.155
B-drive,1.1992,8,5.2395,2.7796,0.6549,1,20260830,350,1.793
A-readout,1.1992,12,5.2395,2.7796,0.4366,1,20260830,350,0.874
B-drive,1.1992,12,5.2395,2.7796,0.4366,1,20260830,350,1.392
A-readout,1.1992,16,5.2395,2.7796,0.3275,1,20260830,350,0.562
B-drive,1.1992,16,5.2395,2.7796,0.3275,1,20260830,350,1.07
