arm,omega,band_k,period_drive_steps,tau_drive_steps,samples_per_period,aliased,seed,n,ipc
B-drive,1.5486,4,4.0573,2.1525,1.0143,1,20260831,350,3.113
A-readout,1.5486,6,4.0573,2.1525,0.6762,1,20260831,350,0.913
B-drive,1.5486,6,4.0573,2.1525,0.6762,1,20260831,350,2.259
A-readout,1.5486,8,4.0573,2.1525,0.5072,1,20260831,350,1.194
B-drive,1.5486,8,4.0573,2.1525,0.5072,1,20260831,350,1.723
A-readout,1.5486,12,4.0573,2.1525,0.3381,1,20260831,350,1.164
B-drive,1.5486,12,4.0573,2.1525,0.3381,1,20260831,350,1.53
A-readout,1.5486,16,4.0573,2.1525,0.2536,1,20260831,350,0.781
B-drive,1.5486,16,4.0573,2.1525,0.2536,1,20260831,350,1.13
A-readout,2.0,1,3.1416,1.6667,3.1416,0,20260831,350,5.811
B-drive,2.0,1,3.1416,1.6667,3.1416,0,20260831,350,5.811
A-readout,2.0,2,3.1416,1.6667,1.5708,1,20260831,350,2.969
B-drive,2.0,2,3.1416,1.6667,1.5708,1,20260831,350,3.941
A-readout,2.0,3,3.1416,1.6667,1.0472,1,20260831,350,2.088
B-drive,2.0,3,3.1416,1.6667,1.0472,1,20260831,350,3.083
A-readout,2.0,4,3.1416,1.6667,0.7854,1,20260831,350,1.428
B-drive,2.0,4,3.1416,1.6667,0.7854,1,20260831,350,2.584
A-readout,2.0,6,3.1416,1.6667,0.5236,1,20260831,350,1.002
B-drive,2.0,6,3.1416,1.6667,0.5236,1,20260831,350,1.715
A-readout,2.0,8,3.1416,1.6667,0.3927,1,20260831,350,1.073
B-drive,2.0,8,3.1416,1.6667,0.3927,1,20260831,350,1.468
A-readout,2.0,12,3.1416,1.6667,0.2618,1,20260831,350,0.937
B-drive,2.0,12,3.1416,1.6667,0.2618,1,20260831,350,1.072
A-readout,2.0,16,3.1416,1.6667,0.1963,1,20260831,350,0.677
B-drive,2.0,16,3.1416,1.6667,0.1963,1,20260831,350,0.729
A-readout,0.12,1,52.3599,27.7778,52.3599,0,20260832,350,1.416
B-drive,0.12,1,52.3599,27.7778,52.3599,0,20260832,350,1.416
A-readout,0.12,2,52.3599,27.7778,26.1799,0,20260832,350,0.891
B-drive,0.12,2,52.3599,27.7778,26.1799,0,20260832,350,2.731
A-readout,0.12,3,52.3599,27.7778,17.4533,0,20260832,350,1.424
B-drive,0.12,3,52.3599,27.7778,17.4533,0,20260832,350,3.478
A-readout,0.12,4,52.3599,27.7778,13.09,0,20260832,350,0.472
B-drive,0.12,4,52.3599,27.7778,13.09,0,20260832,350,4.443
A-readout,0.12,6,52.3599,27.7778,8.7266,0,20260832,350,0.582
B-drive,0.12,6,52.3599,27.7778,8.7266,0,20260832,350,5.186
A-readout,0.12,8,52.3599,27.7778,6.545,0,20260832,350,0.783
B-drive,0.12,8,52.3599,27.7778,6.545,0,20260832,350,5.756
A-readout,0.12,12,52.3599,27.7778,4.3633,0,20260832,350,0.756
B-drive,0.12,12,52.3599,27.7778,4.3633,0,20260832,350,6.132
A-readout,0.12,16,52.3599,27.7778,3.2725,0,20260832,350,0.581
B-drive,0.12,16,52.3599,27.7778,3.2725,0,20260832,350,5.367
A-readout,0.155,1,40.5367,21.5054,40.5367,0,20260832,350,1.672
B-drive,0.155,1,40.5367,21.5054,40.5367,0,20260832,350,1.672
A-readout,0.155,2,40.5367,21.5054,20.2683,0,20260832,350,1.048
B-drive,0.155,2,40.5367,21.5054,20.2683,0,20260832,350,3.159
A-readout,0.155,3,40.5367,21.5054,13.5122,0,20260832,350,1.592
B-drive,0.155,3,40.5367,21.5054,13.5122,0,20260832,350,4.346
A-readout,0.155,4,40.5367,21.5054,10.1342,0,20260832,350,0.696
B-drive,0.155,4,40.5367,21.5054,10.1342,0,20260832,350,4.871
A-readout,0.155,6,40.5367,21.5054,6.7561,0,20260832,350,0.636
B-drive,0.155,6,40.5367,21.5054,6.7561,0,20260832,350,5.709
A-readout,0.155,8,40.5367,21.5054,5.0671,0,20260832,350,0.865
B-drive,0.155,8,40.5367,21.5054,5.0671,0,20260832,350,6.008
A-readout,0.155,12,40.5367,21.5054,3.3781,0,20260832,350,0.493
B-drive,0.155,12,40.5367,21.5054,3.3781,0,20260832,350,5.438
A-readout,0.155,16,40.5367,21.5054,2.5335,0,20260832,350,0.541
B-drive,0.155,16,40.5367,21.5054,2.5335,0,20260832,350,4.399
A-readout,0.2001,1,31.4002,16.6583,31.4002,0,20260832,350,2.402
B-drive,0.2001,1,31.4002,16.6583,31.4002,0,20260832,350,2.402
A-readout,0.2001,2,31.4002,16.6583,15.7001,0,20260832,350,1.369
B-drive,0.2001,2,31.4002,16.6583,15.7001,0,20260832,350,3.808
A-readout,0.2001,3,31.4002,16.6583,10.4667,0,20260832,350,1.919
B-drive,0.2001,3,31.4002,16.6583,10.4667,0,20260832,350,4.817
A-readout,0.2001,4,31.4002,16.6583,7.8501,0,20260832,350,0.985
B-drive,0.2001,4,31.4002,16.6583,7.8501,0,20260832,350,5.363
A-readout,0.2001,6,31.4002,16.6583,5.2334,0,20260832,350,0.939
B-drive,0.2001,6,31.4002,16.6583,5.2334,0,20260832,350,5.983
A-readout,0.2001,8,31.4002,16.6583,3.925,0,20260832,350,1.235
B-drive,0.2001,8,31.4002,16.6583,3.925,0,20260832,350,5.787
A-readout,0.2001,12,31.4002,16.6583,2.6167,0,20260832,350,0.404
B-drive,0.2001,12,31.4002,16.6583,2.6167,0,20260832,350,4.528
A-readout,0.2001,16,31.4002,16.6583,1.9625,1,20260832,350,0.608
B-drive,0.2001,16,31.4002,16.6583,1.9625,1,20260832,350,4.082
A-readout,0.2585,1,24.3063,12.8949,24.3063,0,20260832,350,2.833
B-drive,0.2585,1,24.3063,12.8949,24.3063,0,20260832,350,2.833
A-readout,0.2585,2,24.3063,12.8949,12.1532,0,20260832,350,1.645
B-drive,0.2585,2,24.3063,12.8949,12.1532,0,20260832,350,4.617
A-readout,0.2585,3,24.3063,12.8949,8.1021,0,20260832,350,2.282
B-drive,0.2585,3,24.3063,12.8949,8.1021,0,20260832,350,5.31
A-readout,0.2585,4,24.3063,12.8949,6.0766,0,20260832,350,1.285
B-drive,0.2585,4,24.3063,12.8949,6.0766,0,20260832,350,5.865
A-readout,0.2585,6,24.3063,12.8949,4.0511,0,20260832,350,1.399
B-drive,0.2585,6,24.3063,12.8949,4.0511,0,20260832,350,5.854
A-readout,0.2585,8,24.3063,12.8949,3.0383,0,20260832,350,1.766
B-drive,0.2585,8,24.3063,12.8949,3.0383,0,20260832,350,5.095
A-readout,0.2585,12,24.3063,12.8949,2.0255,0,20260832,350,0.438
B-drive,0.2585,12,24.3063,12.8949,2.0255,0,20260832,350,4.173
A-readout,0.2585,16,24.3063,12.8949,1.5191,1,20260832,350,0.839
B-drive,0.2585,16,24.3063,12.8949,1.5191,1,20260832,350,3.386
A-readout,0.3338,1,18.8232,9.986,18.8232,0,20260832,350,3.344
B-drive,0.3338,1,18.8232,9.986,18.8232,0,20260832,350,3.344
A-readout,0.3338,2,18.8232,9.986,9.4116,0,20260832,350,2.016
B-drive,0.3338,2,18.8232,9.986,9.4116,0,20260832,350,5.047
A-readout,0.3338,3,18.8232,9.986,6.2744,0,20260832,350,2.793
B-drive,0.3338,3,18.8232,9.986,6.2744,0,20260832,350,5.834
A-readout,0.3338,4,18.8232,9.986,4.7058,0,20260832,350,1.41
B-drive,0.3338,4,18.8232,9.986,4.7058,0,20260832,350,6.151
A-readout,0.3338,6,18.8232,9.986,3.1372,0,20260832,350,1.474
B-drive,0.3338,6,18.8232,9.986,3.1372,0,20260832,350,5.194
A-readout,0.3338,8,18.8232,9.986,2.3529,0,20260832,350,2.024
B-drive,0.3338,8,18.8232,9.986,2.3529,0,20260832,350,4.251
A-readout,0.3338,12,18.8232,9.986,1.5686,1,20260832,350,0.576
B-drive,0.3338,12,18.8232,9.986,1.5686,1,20260832,350,3.438
A-readout,0.3338,16,18.8232,9.986,1.1765,1,20260832,350,0.838
B-drive,0.3338,16,18.8232,9.986,1.1765,1,20260832,350,3.086
A-readout,0.4311,1,14.5748,7.7322,14.5748,0,20260832,350,4.11
B-drive,0.4311,1,14.5748,7.7322,14.5748,0,20260832,350,4.11
A-readout,0.4311,2,14.5748,7.7322,7.2874,0,20260832,350,2.815
B-drive,0.4311,2,14.5748,7.7322,7.2874,0,20260832,350,5.577
A-readout,0.4311,3,14.5748,7.7322,4.8583,0,20260832,350,2.873
B-drive,0.4311,3,14.5748,7.7322,4.8583,0,20260832,350,6.119
A-readout,0.4311,4,14.5748,7.7322,3.6437,0,20260832,350,1.938
B-drive,0.4311,4,14.5748,7.7322,3.6437,0,20260832,350,5.616
A-readout,0.4311,6,14.5748,7.7322,2.4291,0,20260832,350,1.477
B-drive,0.4311,6,14.5748,7.7322,2.4291,0,20260832,350,4.294
A-readout,0.4311,8,14.5748,7.7322,1.8218,1,20260832,350,2.094
B-drive,0.4311,8,14.5748,7.7322,1.8218,1,20260832,350,3.739
A-readout,0.4311,12,14.5748,7.7322,1.2146,1,20260832,350,0.678
B-drive,0.4311,12,14.5748,7.7322,1.2146,1,20260832,350,3.123
A-readout,0.4311,16,14.5748,7.7322,0.9109,1,20260832,350,0.929
B-drive,0.4311,16,14.5748,7.7322,0.9109,1,20260832,350,2.66
A-readout,0.5567,1,11.2865,5.9877,11.2865,0,20260832,350,4.726
B-drive,0.5567,1,11.2865,5.9877,11.2865,0,20260832,350,4.726
A-readout,0.5567,2,11.2865,5.9877,5.6432,0,20260832,350,3.553
B-drive,0.5567,2,11.2865,5.9877,5.6432,0,20260832,350,5.974
A-readout,0.5567,3,11.2865,5.9877,3.7622,0,20260832,350,3.015
B-drive,0.5567,3,11.2865,5.9877,3.7622,0,20260832,350,5.706
A-readout,0.5567,4,11.2865,5.9877,2.8216,0,20260832,350,2.418
B-drive,0.5567,4,11.2865,5.9877,2.8216,0,20260832,350,4.828
A-readout,0.5567,6,11.2865,5.9877,1.8811,1,20260832,350,1.521
B-drive,0.5567,6,11.2865,5.9877,1.8811,1,20260832,350,3.806
A-readout,0.5567,8,11.2865,5.9877,1.4108,1,20260832,350,2.066
B-drive,0.5567,8,11.2865,5.9877,1.4108,1,20260832,350,3.19
A-readout,0.5567,12,11.2865,5.9877,0.9405,1,20260832,350,0.72
B-drive,0.5567,12,11.2865,5.9877,0.9405,1,20260832,350,2.645
A-readout,0.5567,16,11.2865,5.9877,0.7054,1,20260832,350,1.037
B-drive,0.5567,16,11.2865,5.9877,0.7054,1,20260832,350,2.019
A-readout,0.719,1,8.7388,4.6361,8.7388,0,20260832,350,5.232
B-drive,0.719,1,8.7388,4.6361,8.7388,0,20260832,350,5.232
A-readout,0.719,2,8.7388,4.6361,4.3694,0,20260832,350,3.899
B-drive,0.719,2,8.7388,4.6361,4.3694,0,20260832,350,6.003
A-readout,0.719,3,8.7388,4.6361,2.9129,0,20260832,350,3.029
B-drive,0.719,3,8.7388,4.6361,2.9129,0,20260832,350,4.92
A-readout,0.719,4,8.7388,4.6361,2.1847,0,20260832,350,2.549
B-drive,0.719,4,8.7388,4.6361,2.1847,0,20260832,350,4.324
A-readout,0.719,6,8.7388,4.6361,1.4565,1,20260832,350,1.609
B-drive,0.719,6,8.7388,4.6361,1.4565,1,20260832,350,3.217
A-readout,0.719,8,8.7388,4.6361,1.0923,1,20260832,350,1.843
B-drive,0.719,8,8.7388,4.6361,1.0923,1,20260832,350,2.83
A-readout,0.719,12,8.7388,4.6361,0.7282,1,20260832,350,0.882
B-drive,0.719,12,8.7388,4.6361,0.7282,1,20260832,350,2.005
A-readout,0.719,16,8.7388,4.6361,0.5462,1,20260832,350,0.96
B-drive,0.719,16,8.7388,4.6361,0.5462,1,20260832,350,1.371
A-readout,0.9285,1,6.767,3.59,6.767,0,20260832,350,5.846
B-drive,0.9285,1,6.767,3.59,6.767,0,20260832,350,5.846
A-readout,0.9285,2,6.767,3.59,3.3835,0,20260832,350,3.859
B-drive,0.9285,2,6.767,3.59,3.3835,0,20260832,350,5.366
A-readout,0.9285,3,6.767,3.59,2.2557,0,20260832,350,2.882
B-drive,0.9285,3,6.767,3.59,2.2557,0,20260832,350,4.376
A-readout,0.9285,4,6.767,3.59,1.6918,1,20260832,350,2.411
B-drive,0.9285,4,6.767,3.59,1.6918,1,20260832,350,3.549
A-readout,0.9285,6,6.767,3.59,1.1278,1,20260832,350,1.692
B-drive,0.9285,6,6.767,3.59,1.1278,1,20260832,350,2.843
A-readout,0.9285,8,6.767,3.59,0.8459,1,20260832,350,1.678
B-drive,0.9285,8,6.767,3.59,0.8459,1,20260832,350,2.315
A-readout,0.9285,12,6.767,3.59,0.5639,1,20260832,350,0.798
B-drive,0.9285,12,6.767,3.59,0.5639,1,20260832,350,1.406
A-readout,0.9285,16,6.767,3.59,0.4229,1,20260832,350,0.742
B-drive,0.9285,16,6.767,3.59,0.4229,1,20260832,350,1.19
A-readout,1.1992,1,5.2395,2.7796,5.2395,0,20260832,350,6.157
B-drive,1.1992,1,5.2395,2.7796,5.2395,0,20260832,350,6.157
A-readout,1.1992,2,5.2395,2.7796,2.6197,0,20260832,350,4.241
B-drive,1.1992,2,5.2395,2.7796,2.6197,0,20260832,350,4.502
A-readout,1.1992,3,5.2395,2.7796,1.7465,1,20260832,350,2.796
B-drive,1.1992,3,5.2395,2.7796,1.7465,1,20260832,350,3.564
A-readout,1.1992,4,5.2395,2.7796,1.3099,1,20260832,350,2.307
B-drive,1.1992,4,5.2395,2.7796,1.3099,1,20260832,350,3.023
A-readout,1.1992,6,5.2395,2.7796,0.8732,1,20260832,350,1.273
B-drive,1.1992,6,5.2395,2.7796,0.8732,1,20260832,350,2.389
A-readout,1.1992,8,5.2395,2.7796,0.6549,1,20260832,350,1.56
B-drive,1.1992,8,5.2395,2.7796,0.6549,1,20260832,350,1.637
A-readout,1.1992,12,5.2395,2.7796,0.4366,1,20260832,350,0.759
B-drive,1.1992,12,5.2395,2.7796,0.4366,1,20260832,350,1.235
A-readout,1.1992,16,5.2395,2.7796,0.3275,1,20260832,350,0.775
B-drive,1.1992,16,5.2395,2.7796,0.3275,1,20260832,350,0.803
A-readout,1.5486,1,4.0573,2.1525,4.0573,0,20260832,350,5.85
B-drive,1.5486,1,4.0573,2.1525,4.0573,0,20260832,350,5.85
A-readout,1.5486,2,4.0573,2.1525,2.0287,0,20260832,350,3.496
B-drive,1.5486,2,4.0573,2.1525,2.0287,0,20260832,350,3.917
A-readout,1.5486,3,4.0573,2.1525,1.3524,1,20260832,350,2.476
B-drive,1.5486,3,4.0573,2.1525,1.3524,1,20260832,350,2.981
A-readout,1.5486,4,4.0573,2.1525,1.0143,1,20260832,350,1.844
B-drive,1.5486,4,4.0573,2.1525,1.0143,1,20260832,350,2.545
A-readout,1.5486,6,4.0573,2.1525,0.6762,1,20260832,350,1.094
B-drive,1.5486,6,4.0573,2.1525,0.6762,1,20260832,350,1.652
A-readout,1.5486,8,4.0573,2.1525,0.5072,1,20260832,350,1.313
B-drive,1.5486,8,4.0573,2.1525,0.5072,1,20260832,350,1.366
A-readout,1.5486,12,4.0573,2.1525,0.3381,1,20260832,350,0.627
B-drive,1.5486,12,4.0573,2.1525,0.3381,1,20260832,350,0.825
A-readout,1.5486,16,4.0573,2.1525,0.2536,1,20260832,350,0.683
B-drive,1.5486,16,4.0573,2.1525,0.2536,1,20260832,350,0.438
A-readout,2.0,1,3.1416,1.6667,3.1416,0,20260832,350,5.146
B-drive,2.0,1,3.1416,1.6667,3.1416,0,20260832,350,5.146
A-readout,2.0,2,3.1416,1.6667,1.5708,1,20260832,350,2.741
B-drive,2.0,2,3.1416,1.6667,1.5708,1,20260832,350,3.169
A-readout,2.0,3,3.1416,1.6667,1.0472,1,20260832,350,2.097
B-drive,2.0,3,3.1416,1.6667,1.0472,1,20260832,350,2.51
A-readout,2.0,4,3.1416,1.6667,0.7854,1,20260832,350,1.613
B-drive,2.0,4,3.1416,1.6667,0.7854,1,20260832,350,1.862
A-readout,2.0,6,3.1416,1.6667,0.5236,1,20260832,350,1.164
B-drive,2.0,6,3.1416,1.6667,0.5236,1,20260832,350,1.365
A-readout,2.0,8,3.1416,1.6667,0.3927,1,20260832,350,0.997
B-drive,2.0,8,3.1416,1.6667,0.3927,1,20260832,350,1.053
A-readout,2.0,12,3.1416,1.6667,0.2618,1,20260832,350,0.474
B-drive,2.0,12,3.1416,1.6667,0.2618,1,20260832,350,0.44
A-readout,2.0,16,3.1416,1.6667,0.1963,1,20260832,350,0.733
B-drive,2.0,16,3.1416,1.6667,0.1963,1,20260832,350,0.454
A-readout,0.12,1,52.3599,27.7778,52.3599,0,20260833,350,1.347
B-drive,0.12,1,52.3599,27.7778,52.3599,0,20260833,350,1.347
A-readout,0.12,2,52.3599,27.7778,26.1799,0,20260833,350,1.211
B-drive,0.12,2,52.3599,27.7778,26.1799,0,20260833,350,2.312
A-readout,0.12,3,52.3599,27.7778,17.4533,0,20260833,350,0.468
B-drive,0.12,3,52.3599,27.7778,17.4533,0,20260833,350,2.699
A-readout,0.12,4,52.3599,27.7778,13.09,0,20260833,350,1.091
B-drive,0.12,4,52.3599,27.7778,13.09,0,20260833,350,2.847
A-readout,0.12,6,52.3599,27.7778,8.7266,0,20260833,350,1.21
B-drive,0.12,6,52.3599,27.7778,8.7266,0,20260833,350,3.478
A-readout,0.12,8,52.3599,27.7778,6.545,0,20260833,350,0.746
B-drive,0.12,8,52.3599,27.7778,6.545,0,20260833,350,4.02
A-readout,0.12,12,52.3599,27.7778,4.3633,0,20260833,350,1.187
B-drive,0.12,12,52.3599,27.7778,4.3633,0,20260833,350,5.399
A-readout,0.12,16,52.3599,27.7778,3.2725,0,20260833,350,0.822
B-drive,0.12,16,52.3599,27.7778,3.2725,0,20260833,350,6.327
A-readout,0.155,1,40.5367,21.5054,40.5367,0,20260833,350,1.49
B-drive,0.155,1,40.5367,21.5054,40.5367,0,20260833,350,1.49
A-readout,0.155,2,40.5367,21.5054,20.2683,0,20260833,350,1.936
B-drive,0.155,2,40.5367,21.5054,20.2683,0,20260833,350,2.698
A-readout,0.155,3,40.5367,21.5054,13.5122,0,20260833,350,0.826
B-drive,0.155,3,40.5367,21.5054,13.5122,0,20260833,350,2.887
A-readout,0.155,4,40.5367,21.5054,10.1342,0,20260833,350,1.197
B-drive,0.155,4,40.5367,21.5054,10.1342,0,20260833,350,3.099
A-readout,0.155,6,40.5367,21.5054,6.7561,0,20260833,350,0.886
B-drive,0.155,6,40.5367,21.5054,6.7561,0,20260833,350,3.999
A-readout,0.155,8,40.5367,21.5054,5.0671,0,20260833,350,0.816
B-drive,0.155,8,40.5367,21.5054,5.0671,0,20260833,350,4.702
A-readout,0.155,12,40.5367,21.5054,3.3781,0,20260833,350,0.95
B-drive,0.155,12,40.5367,21.5054,3.3781,0,20260833,350,6.241
A-readout,0.155,16,40.5367,21.5054,2.5335,0,20260833,350,0.776
B-drive,0.155,16,40.5367,21.5054,2.5335,0,20260833,350,5.804
A-readout,0.2001,1,31.4002,16.6583,31.4002,0,20260833,350,1.972
B-drive,0.2001,1,31.4002,16.6583,31.4002,0,20260833,350,1.972
A-readout,0.2001,2,31.4002,16.6583,15.7001,0,20260833,350,2.63
B-drive,0.2001,2,31.4002,16.6583,15.7001,0,20260833,350,2.816
A-readout,0.2001,3,31.4002,16.6583,10.4667,0,20260833,350,0.995
B-drive,0.2001,3,31.4002,16.6583,10.4667,0,20260833,350,3.007
A-readout,0.2001,4,31.4002,16.6583,7.8501,0,20260833,350,1.029
B-drive,0.2001,4,31.4002,16.6583,7.8501,0,20260833,350,3.702
A-readout,0.2001,6,31.4002,16.6583,5.2334,0,20260833,350,1.03
B-drive,0.2001,6,31.4002,16.6583,5.2334,0,20260833,350,4.633
A-readout,0.2001,8,31.4002,16.6583,3.925,0,20260833,350,0.759
B-drive,0.2001,8,31.4002,16.6583,3.925,0,20260833,350,6.222
A-readout,0.2001,12,31.4002,16.6583,2.6167,0,20260833,350,0.716
B-drive,0.2001,12,31.4002,16.6583,2.6167,0,20260833,350,5.893
A-readout,0.2001,16,31.4002,16.6583,1.9625,1,20260833,350,0.755
B-drive,0.2001,16,31.4002,16.6583,1.9625,1,20260833,350,4.609
A-readout,0.2585,1,24.3063,12.8949,24.3063,0,20260833,350,2.496
B-drive,0.2585,1,24.3063,12.8949,24.3063,0,20260833,350,2.496
A-readout,0.2585,2,24.3063,12.8949,12.1532,0,20260833,350,3.735
B-drive,0.2585,2,24.3063,12.8949,12.1532,0,20260833,350,2.801
A-readout,0.2585,3,24.3063,12.8949,8.1021,0,20260833,350,1.426
B-drive,0.2585,3,24.3063,12.8949,8.1021,0,20260833,350,3.632
A-readout,0.2585,4,24.3063,12.8949,6.0766,0,20260833,350,0.991
B-drive,0.2585,4,24.3063,12.8949,6.0766,0,20260833,350,4.211
A-readout,0.2585,6,24.3063,12.8949,4.0511,0,20260833,350,1.06
B-drive,0.2585,6,24.3063,12.8949,4.0511,0,20260833,350,6.067
A-readout,0.2585,8,24.3063,12.8949,3.0383,0,20260833,350,0.849
B-drive,0.2585,8,24.3063,12.8949,3.0383,0,20260833,350,6.225
A-readout,0.2585,12,24.3063,12.8949,2.0255,0,20260833,350,0.667
B-drive,0.2585,12,24.3063,12.8949,2.0255,0,20260833,350,4.76
A-readout,0.2585,16,24.3063,12.8949,1.5191,1,20260833,350,0.752
B-drive,0.2585,16,24.3063,12.8949,1.5191,1,20260833,350,4.2
A-readout,0.3338,1,18.8232,9.986,18.8232,0,20260833,350,2.666
B-drive,0.3338,1,18.8232,9.986,18.8232,0,20260833,350,2.666
A-readout,0.3338,2,18.8232,9.986,9.4116,0,20260833,350,4.368
B-drive,0.3338,2,18.8232,9.986,9.4116,0,20260833,350,3.317
A-readout,0.3338,3,18.8232,9.986,6.2744,0,20260833,350,2.196
B-drive,0.3338,3,18.8232,9.986,6.2744,0,20260833,350,4.125
A-readout,0.3338,4,18.8232,9.986,4.7058,0,20260833,350,0.949
B-drive,0.3338,4,18.8232,9.986,4.7058,0,20260833,350,5.042
A-readout,0.3338,6,18.8232,9.986,3.1372,0,20260833,350,1.128
B-drive,0.3338,6,18.8232,9.986,3.1372,0,20260833,350,6.285
A-readout,0.3338,8,18.8232,9.986,2.3529,0,20260833,350,1.124
B-drive,0.3338,8,18.8232,9.986,2.3529,0,20260833,350,5.098
A-readout,0.3338,12,18.8232,9.986,1.5686,1,20260833,350,0.787
B-drive,0.3338,12,18.8232,9.986,1.5686,1,20260833,350,4.403
A-readout,0.3338,16,18.8232,9.986,1.1765,1,20260833,350,0.636
B-drive,0.3338,16,18.8232,9.986,1.1765,1,20260833,350,3.782
A-readout,0.4311,1,14.5748,7.7322,14.5748,0,20260833,350,2.93
B-drive,0.4311,1,14.5748,7.7322,14.5748,0,20260833,350,2.93
A-readout,0.4311,2,14.5748,7.7322,7.2874,0,20260833,350,4.728
B-drive,0.4311,2,14.5748,7.7322,7.2874,0,20260833,350,3.917
A-readout,0.4311,3,14.5748,7.7322,4.8583,0,20260833,350,2.326
B-drive,0.4311,3,14.5748,7.7322,4.8583,0,20260833,350,4.934
A-readout,0.4311,4,14.5748,7.7322,3.6437,0,20260833,350,1.515
B-drive,0.4311,4,14.5748,7.7322,3.6437,0,20260833,350,5.905
A-readout,0.4311,6,14.5748,7.7322,2.4291,0,20260833,350,1.061
B-drive,0.4311,6,14.5748,7.7322,2.4291,0,20260833,350,5.333
A-readout,0.4311,8,14.5748,7.7322,1.8218,1,20260833,350,1.395
B-drive,0.4311,8,14.5748,7.7322,1.8218,1,20260833,350,4.579
A-readout,0.4311,12,14.5748,7.7322,1.2146,1,20260833,350,0.895
B-drive,0.4311,12,14.5748,7.7322,1.2146,1,20260833,350,3.817
A-readout,0.4311,16,14.5748,7.7322,0.9109,1,20260833,350,0.702
B-drive,0.4311,16,14.5748,7.7322,0.9109,1,20260833,350,2.765
A-readout,0.5567,1,11.2865,5.9877,11.2865,0,20260833,350,2.884
B-drive,0.5567,1,11.2865,5.9877,11.2865,0,20260833,350,2.884
A-readout,0.5567,2,11.2865,5.9877,5.6432,0,20260833,350,4.439
B-drive,0.5567,2,11.2865,5.9877,5.6432,0,20260833,350,4.504
A-readout,0.5567,3,11.2865,5.9877,3.7622,0,20260833,350,2.499
B-drive,0.5567,3,11.2865,5.9877,3.7622,0,20260833,350,5.924
A-readout,0.5567,4,11.2865,5.9877,2.8216,0,20260833,350,1.826
B-drive,0.5567,4,11.2865,5.9877,2.8216,0,20260833,350,5.774
A-readout,0.5567,6,11.2865,5.9877,1.8811,1,20260833,350,1.452
B-drive,0.5567,6,11.2865,5.9877,1.8811,1,20260833,350,4.623
A-readout,0.5567,8,11.2865,5.9877,1.4108,1,20260833,350,1.445
B-drive,0.5567,8,11.2865,5.9877,1.4108,1,20260833,350,3.855
A-readout,0.5567,12,11.2865,5.9877,0.9405,1,20260833,350,1.104
B-drive,0.5567,12,11.2865,5.9877,0.9405,1,20260833,350,2.855
A-readout,0.5567,16,11.2865,5.9877,0.7054,1,20260833,350,0.768
B-drive,0.5567,16,11.2865,5.9877,0.7054,1,20260833,350,2.446
A-readout,0.719,1,8.7388,4.6361,8.7388,0,20260833,350,3.49
B-drive,0.719,1,8.7388,4.6361,8.7388,0,20260833,350,3.49
A-readout,0.719,2,8.7388,4.6361,4.3694,0,20260833,350,3.472
B-drive,0.719,2,8.7388,4.6361,4.3694,0,20260833,350,5.759
A-readout,0.719,3,8.7388,4.6361,2.9129,0,20260833,350,2.448
B-drive,0.719,3,8.7388,4.6361,2.9129,0,20260833,350,5.791
A-readout,0.719,4,8.7388,4.6361,2.1847,0,20260833,350,1.819
B-drive,0.719,4,8.7388,4.6361,2.1847,0,20260833,350,5.122
A-readout,0.719,6,8.7388,4.6361,1.4565,1,20260833,350,1.659
B-drive,0.719,6,8.7388,4.6361,1.4565,1,20260833,350,3.833
A-readout,0.719,8,8.7388,4.6361,1.0923,1,20260833,350,1.209
B-drive,0.719,8,8.7388,4.6361,1.0923,1,20260833,350,3.485
A-readout,0.719,12,8.7388,4.6361,0.7282,1,20260833,350,1.133
B-drive,0.719,12,8.7388,4.6361,0.7282,1,20260833,350,2.504
A-readout,0.719,16,8.7388,4.6361,0.5462,1,20260833,350,0.836
B-drive,0.719,16,8.7388,4.6361,0.5462,1,20260833,350,2.168
A-readout,0.9285,1,6.767,3.59,6.767,0,20260833,350,4.086
B-drive,0.9285,1,6.767,3.59,6.767,0,20260833,350,4.086
A-readout,0.9285,2,6.767,3.59,3.3835,0,20260833,350,2.88
B-drive,0.9285,2,6.767,3.59,3.3835,0,20260833,350,6.228
A-readout,0.9285,3,6.767,3.59,2.2557,0,20260833,350,2.745
B-drive,0.9285,3,6.767,3.59,2.2557,0,20260833,350,5.167
A-readout,0.9285,4,6.767,3.59,1.6918,1,20260833,350,2.034
B-drive,0.9285,4,6.767,3.59,1.6918,1,20260833,350,4.328
A-readout,0.9285,6,6.767,3.59,1.1278,1,20260833,350,1.592
B-drive,0.9285,6,6.767,3.59,1.1278,1,20260833,350,3.54
A-readout,0.9285,8,6.767,3.59,0.8459,1,20260833,350,1.284
B-drive,0.9285,8,6.767,3.59,0.8459,1,20260833,350,2.59
A-readout,0.9285,12,6.767,3.59,0.5639,1,20260833,350,0.877
B-drive,0.9285,12,6.767,3.59,0.5639,1,20260833,350,2.161
A-readout,0.9285,16,6.767,3.59,0.4229,1,20260833,350,0.941
B-drive,0.9285,16,6.767,3.59,0.4229,1,20260833,350,1.425
A-readout,1.1992,1,5.2395,2.7796,5.2395,0,20260833,350,4.995
B-drive,1.1992,1,5.2395,2.7796,5.2395,0,20260833,350,4.995
