substrate,arm,band_k,seed,n,m_streams,ipc,mc,kr,gr
spring-slow (omega 0.2),B-drive,8,20260832,350,60,5.787,2.768,37.0,9.0
spring-fast (omega 2.0),A-readout,1,20260833,350,60,5.841,2.915,37.0,10.0
spring-fast (omega 2.0),B-drive,1,20260833,350,60,5.841,2.915,37.0,10.0
spring-fast (omega 2.0),A-readout,2,20260833,350,60,2.095,0.967,38.0,11.0
spring-fast (omega 2.0),B-drive,2,20260833,350,60,3.692,1.783,26.0,6.0
spring-fast (omega 2.0),A-readout,4,20260833,350,60,1.586,0.78,38.0,8.0
spring-fast (omega 2.0),B-drive,4,20260833,350,60,2.461,1.187,14.0,4.0
spring-fast (omega 2.0),A-readout,8,20260833,350,60,0.952,0.075,38.0,8.0
spring-fast (omega 2.0),B-drive,8,20260833,350,60,1.555,0.236,6.0,3.0
spring-mid (omega 0.6),A-readout,1,20260833,350,60,3.057,1.929,37.0,10.0
spring-mid (omega 0.6),B-drive,1,20260833,350,60,3.057,1.929,37.0,10.0
spring-mid (omega 0.6),A-readout,2,20260833,350,60,4.309,2.483,37.0,11.0
spring-mid (omega 0.6),B-drive,2,20260833,350,60,4.744,2.248,42.0,11.0
spring-mid (omega 0.6),A-readout,4,20260833,350,60,1.752,0.663,39.0,12.0
spring-mid (omega 0.6),B-drive,4,20260833,350,60,5.831,3.002,35.0,9.0
spring-mid (omega 0.6),A-readout,8,20260833,350,60,1.307,0.525,38.0,10.0
spring-mid (omega 0.6),B-drive,8,20260833,350,60,3.906,1.946,23.0,5.0
spring-slow (omega 0.2),A-readout,1,20260833,350,60,1.971,0.553,33.0,13.0
spring-slow (omega 0.2),B-drive,1,20260833,350,60,1.971,0.553,33.0,13.0
spring-slow (omega 0.2),A-readout,2,20260833,350,60,2.628,1.34,32.0,13.0
spring-slow (omega 0.2),B-drive,2,20260833,350,60,2.815,1.222,37.0,11.0
spring-slow (omega 0.2),A-readout,4,20260833,350,60,1.03,0.341,32.0,13.0
spring-slow (omega 0.2),B-drive,4,20260833,350,60,3.701,2.368,40.0,10.0
spring-slow (omega 0.2),A-readout,8,20260833,350,60,0.758,0.372,31.0,13.0
spring-slow (omega 0.2),B-drive,8,20260833,350,60,6.221,2.856,41.0,10.0
spring-fast (omega 2.0),A-readout,1,20260834,350,60,6.288,3.127,39.0,9.0
spring-fast (omega 2.0),B-drive,1,20260834,350,60,6.288,3.127,39.0,9.0
spring-fast (omega 2.0),A-readout,2,20260834,350,60,3.093,1.783,39.0,9.0
spring-fast (omega 2.0),B-drive,2,20260834,350,60,3.532,1.859,28.0,5.0
spring-fast (omega 2.0),A-readout,4,20260834,350,60,1.54,0.885,39.0,11.0
spring-fast (omega 2.0),B-drive,4,20260834,350,60,2.74,1.124,16.0,4.0
spring-fast (omega 2.0),A-readout,8,20260834,350,60,1.153,0.179,39.0,7.0
spring-fast (omega 2.0),B-drive,8,20260834,350,60,1.765,0.858,7.0,3.0
spring-mid (omega 0.6),A-readout,1,20260834,350,60,4.183,2.296,38.0,10.0
spring-mid (omega 0.6),B-drive,1,20260834,350,60,4.183,2.296,38.0,10.0
spring-mid (omega 0.6),A-readout,2,20260834,350,60,3.529,1.788,38.0,10.0
spring-mid (omega 0.6),B-drive,2,20260834,350,60,6.012,3.686,42.0,11.0
spring-mid (omega 0.6),A-readout,4,20260834,350,60,1.917,0.904,38.0,13.0
spring-mid (omega 0.6),B-drive,4,20260834,350,60,5.891,2.898,38.0,8.0
spring-mid (omega 0.6),A-readout,8,20260834,350,60,1.222,0.245,36.0,12.0
spring-mid (omega 0.6),B-drive,8,20260834,350,60,3.879,1.787,26.0,5.0
spring-slow (omega 0.2),A-readout,1,20260834,350,60,1.615,1.075,31.0,10.0
spring-slow (omega 0.2),B-drive,1,20260834,350,60,1.615,1.075,31.0,10.0
spring-slow (omega 0.2),A-readout,2,20260834,350,60,1.955,0.755,30.0,12.0
spring-slow (omega 0.2),B-drive,2,20260834,350,60,3.286,1.746,36.0,11.0
spring-slow (omega 0.2),A-readout,4,20260834,350,60,1.312,0.591,30.0,12.0
spring-slow (omega 0.2),B-drive,4,20260834,350,60,4.753,2.793,40.0,10.0
spring-slow (omega 0.2),A-readout,8,20260834,350,60,0.914,0.094,29.0,11.0
spring-slow (omega 0.2),B-drive,8,20260834,350,60,6.491,3.777,42.0,11.0
spring-fast (omega 2.0),A-readout,1,20260835,350,60,6.089,3.311,37.0,7.0
spring-fast (omega 2.0),B-drive,1,20260835,350,60,6.089,3.311,37.0,7.0
spring-fast (omega 2.0),A-readout,2,20260835,350,60,3.146,1.392,38.0,11.0
spring-fast (omega 2.0),B-drive,2,20260835,350,60,3.526,1.901,24.0,5.0
spring-fast (omega 2.0),A-readout,4,20260835,350,60,2.137,0.584,37.0,7.0
spring-fast (omega 2.0),B-drive,4,20260835,350,60,2.423,0.75,14.0,4.0
spring-fast (omega 2.0),A-readout,8,20260835,350,60,1.052,0.05,38.0,8.0
spring-fast (omega 2.0),B-drive,8,20260835,350,60,1.49,0.119,6.0,3.0
spring-mid (omega 0.6),A-readout,1,20260835,350,60,2.764,1.757,36.0,11.0
spring-mid (omega 0.6),B-drive,1,20260835,350,60,2.764,1.757,36.0,11.0
spring-mid (omega 0.6),A-readout,2,20260835,350,60,2.736,1.45,36.0,11.0
spring-mid (omega 0.6),B-drive,2,20260835,350,60,5.437,3.425,40.0,10.0
spring-mid (omega 0.6),A-readout,4,20260835,350,60,2.514,1.025,37.0,10.0
spring-mid (omega 0.6),B-drive,4,20260835,350,60,5.486,3.005,35.0,8.0
