family,substrate,tau_drive_steps,arm,band_k,seed,n,ipc
esn,esn-slow (leak 0.1),9.5,A-readout,2,20260837,350,1.611
esn,esn-slow (leak 0.1),9.5,B-drive,2,20260837,350,2.126
esn,esn-slow (leak 0.1),9.5,A-readout,4,20260837,350,1.376
esn,esn-slow (leak 0.1),9.5,B-drive,4,20260837,350,2.653
esn,esn-slow (leak 0.1),9.5,A-readout,8,20260837,350,0.565
esn,esn-slow (leak 0.1),9.5,B-drive,8,20260837,350,3.364
mass-spring,spring-fast (omega 2.0),1.67,A-readout,1,20260837,350,5.899
mass-spring,spring-fast (omega 2.0),1.67,B-drive,1,20260837,350,5.899
mass-spring,spring-fast (omega 2.0),1.67,A-readout,2,20260837,350,3.484
mass-spring,spring-fast (omega 2.0),1.67,B-drive,2,20260837,350,3.714
mass-spring,spring-fast (omega 2.0),1.67,A-readout,4,20260837,350,1.856
mass-spring,spring-fast (omega 2.0),1.67,B-drive,4,20260837,350,2.661
mass-spring,spring-fast (omega 2.0),1.67,A-readout,8,20260837,350,1.135
mass-spring,spring-fast (omega 2.0),1.67,B-drive,8,20260837,350,1.415
mass-spring,spring-mid (omega 0.6),5.56,A-readout,1,20260837,350,4.326
mass-spring,spring-mid (omega 0.6),5.56,B-drive,1,20260837,350,4.326
mass-spring,spring-mid (omega 0.6),5.56,A-readout,2,20260837,350,4.657
mass-spring,spring-mid (omega 0.6),5.56,B-drive,2,20260837,350,5.856
mass-spring,spring-mid (omega 0.6),5.56,A-readout,4,20260837,350,1.647
mass-spring,spring-mid (omega 0.6),5.56,B-drive,4,20260837,350,5.394
mass-spring,spring-mid (omega 0.6),5.56,A-readout,8,20260837,350,1.272
mass-spring,spring-mid (omega 0.6),5.56,B-drive,8,20260837,350,3.651
mass-spring,spring-slow (omega 0.2),16.67,A-readout,1,20260837,350,2.215
mass-spring,spring-slow (omega 0.2),16.67,B-drive,1,20260837,350,2.215
mass-spring,spring-slow (omega 0.2),16.67,A-readout,2,20260837,350,1.878
mass-spring,spring-slow (omega 0.2),16.67,B-drive,2,20260837,350,3.251
mass-spring,spring-slow (omega 0.2),16.67,A-readout,4,20260837,350,0.91
mass-spring,spring-slow (omega 0.2),16.67,B-drive,4,20260837,350,4.95
mass-spring,spring-slow (omega 0.2),16.67,A-readout,8,20260837,350,0.744
mass-spring,spring-slow (omega 0.2),16.67,B-drive,8,20260837,350,6.231
esn,esn-fast (leak 1.0),1.0,A-readout,1,20260838,350,8.006
esn,esn-fast (leak 1.0),1.0,B-drive,1,20260838,350,8.006
esn,esn-fast (leak 1.0),1.0,A-readout,2,20260838,350,4.93
esn,esn-fast (leak 1.0),1.0,B-drive,2,20260838,350,6.1
esn,esn-fast (leak 1.0),1.0,A-readout,4,20260838,350,2.483
esn,esn-fast (leak 1.0),1.0,B-drive,4,20260838,350,3.433
esn,esn-fast (leak 1.0),1.0,A-readout,8,20260838,350,1.562
esn,esn-fast (leak 1.0),1.0,B-drive,8,20260838,350,1.825
esn,esn-mid (leak 0.3),2.8,A-readout,1,20260838,350,2.593
esn,esn-mid (leak 0.3),2.8,B-drive,1,20260838,350,2.593
esn,esn-mid (leak 0.3),2.8,A-readout,2,20260838,350,1.062
esn,esn-mid (leak 0.3),2.8,B-drive,2,20260838,350,3.657
esn,esn-mid (leak 0.3),2.8,A-readout,4,20260838,350,1.413
esn,esn-mid (leak 0.3),2.8,B-drive,4,20260838,350,4.476
esn,esn-mid (leak 0.3),2.8,A-readout,8,20260838,350,1.236
esn,esn-mid (leak 0.3),2.8,B-drive,8,20260838,350,3.964
esn,esn-slow (leak 0.1),9.5,A-readout,1,20260838,350,1.31
esn,esn-slow (leak 0.1),9.5,B-drive,1,20260838,350,1.31
esn,esn-slow (leak 0.1),9.5,A-readout,2,20260838,350,0.715
esn,esn-slow (leak 0.1),9.5,B-drive,2,20260838,350,1.87
esn,esn-slow (leak 0.1),9.5,A-readout,4,20260838,350,0.784
esn,esn-slow (leak 0.1),9.5,B-drive,4,20260838,350,2.579
esn,esn-slow (leak 0.1),9.5,A-readout,8,20260838,350,1.165
esn,esn-slow (leak 0.1),9.5,B-drive,8,20260838,350,3.672
mass-spring,spring-fast (omega 2.0),1.67,A-readout,1,20260838,350,5.186
mass-spring,spring-fast (omega 2.0),1.67,B-drive,1,20260838,350,5.186
mass-spring,spring-fast (omega 2.0),1.67,A-readout,2,20260838,350,3.277
mass-spring,spring-fast (omega 2.0),1.67,B-drive,2,20260838,350,3.938
mass-spring,spring-fast (omega 2.0),1.67,A-readout,4,20260838,350,1.626
mass-spring,spring-fast (omega 2.0),1.67,B-drive,4,20260838,350,2.171
mass-spring,spring-fast (omega 2.0),1.67,A-readout,8,20260838,350,0.886
mass-spring,spring-fast (omega 2.0),1.67,B-drive,8,20260838,350,1.015
mass-spring,spring-mid (omega 0.6),5.56,A-readout,1,20260838,350,4.126
mass-spring,spring-mid (omega 0.6),5.56,B-drive,1,20260838,350,4.126
mass-spring,spring-mid (omega 0.6),5.56,A-readout,2,20260838,350,2.814
mass-spring,spring-mid (omega 0.6),5.56,B-drive,2,20260838,350,5.529
mass-spring,spring-mid (omega 0.6),5.56,A-readout,4,20260838,350,1.866
mass-spring,spring-mid (omega 0.6),5.56,B-drive,4,20260838,350,4.437
mass-spring,spring-mid (omega 0.6),5.56,A-readout,8,20260838,350,1.723
mass-spring,spring-mid (omega 0.6),5.56,B-drive,8,20260838,350,4.211
mass-spring,spring-slow (omega 0.2),16.67,A-readout,1,20260838,350,1.765
mass-spring,spring-slow (omega 0.2),16.67,B-drive,1,20260838,350,1.765
mass-spring,spring-slow (omega 0.2),16.67,A-readout,2,20260838,350,0.668
mass-spring,spring-slow (omega 0.2),16.67,B-drive,2,20260838,350,2.928
mass-spring,spring-slow (omega 0.2),16.67,A-readout,4,20260838,350,1.615
mass-spring,spring-slow (omega 0.2),16.67,B-drive,4,20260838,350,4.923
mass-spring,spring-slow (omega 0.2),16.67,A-readout,8,20260838,350,1.291
mass-spring,spring-slow (omega 0.2),16.67,B-drive,8,20260838,350,5.758
esn,esn-fast (leak 1.0),1.0,A-readout,1,20260839,350,8.872
esn,esn-fast (leak 1.0),1.0,B-drive,1,20260839,350,8.872
esn,esn-fast (leak 1.0),1.0,A-readout,2,20260839,350,4.266
esn,esn-fast (leak 1.0),1.0,B-drive,2,20260839,350,5.958
esn,esn-fast (leak 1.0),1.0,A-readout,4,20260839,350,2.455
esn,esn-fast (leak 1.0),1.0,B-drive,4,20260839,350,3.471
esn,esn-fast (leak 1.0),1.0,A-readout,8,20260839,350,1.267
esn,esn-fast (leak 1.0),1.0,B-drive,8,20260839,350,1.871
esn,esn-mid (leak 0.3),2.8,A-readout,1,20260839,350,1.765
esn,esn-mid (leak 0.3),2.8,B-drive,1,20260839,350,1.765
esn,esn-mid (leak 0.3),2.8,A-readout,2,20260839,350,1.87
esn,esn-mid (leak 0.3),2.8,B-drive,2,20260839,350,2.93
esn,esn-mid (leak 0.3),2.8,A-readout,4,20260839,350,1.245
esn,esn-mid (leak 0.3),2.8,B-drive,4,20260839,350,3.522
esn,esn-mid (leak 0.3),2.8,A-readout,8,20260839,350,0.914
esn,esn-mid (leak 0.3),2.8,B-drive,8,20260839,350,3.113
esn,esn-slow (leak 0.1),9.5,A-readout,1,20260839,350,1.319
esn,esn-slow (leak 0.1),9.5,B-drive,1,20260839,350,1.319
esn,esn-slow (leak 0.1),9.5,A-readout,2,20260839,350,0.903
esn,esn-slow (leak 0.1),9.5,B-drive,2,20260839,350,1.343
esn,esn-slow (leak 0.1),9.5,A-readout,4,20260839,350,0.901
esn,esn-slow (leak 0.1),9.5,B-drive,4,20260839,350,1.929
esn,esn-slow (leak 0.1),9.5,A-readout,8,20260839,350,1.065
esn,esn-slow (leak 0.1),9.5,B-drive,8,20260839,350,2.943
mass-spring,spring-fast (omega 2.0),1.67,A-readout,1,20260839,350,6.658
mass-spring,spring-fast (omega 2.0),1.67,B-drive,1,20260839,350,6.658
mass-spring,spring-fast (omega 2.0),1.67,A-readout,2,20260839,350,2.301
mass-spring,spring-fast (omega 2.0),1.67,B-drive,2,20260839,350,4.495
mass-spring,spring-fast (omega 2.0),1.67,A-readout,4,20260839,350,2.05
mass-spring,spring-fast (omega 2.0),1.67,B-drive,4,20260839,350,2.305
mass-spring,spring-fast (omega 2.0),1.67,A-readout,8,20260839,350,0.955
mass-spring,spring-fast (omega 2.0),1.67,B-drive,8,20260839,350,1.392
mass-spring,spring-mid (omega 0.6),5.56,A-readout,1,20260839,350,2.719
mass-spring,spring-mid (omega 0.6),5.56,B-drive,1,20260839,350,2.719
mass-spring,spring-mid (omega 0.6),5.56,A-readout,2,20260839,350,3.198
mass-spring,spring-mid (omega 0.6),5.56,B-drive,2,20260839,350,5.983
mass-spring,spring-mid (omega 0.6),5.56,A-readout,4,20260839,350,1.218
mass-spring,spring-mid (omega 0.6),5.56,B-drive,4,20260839,350,6.304
mass-spring,spring-mid (omega 0.6),5.56,A-readout,8,20260839,350,1.357
mass-spring,spring-mid (omega 0.6),5.56,B-drive,8,20260839,350,4.196
mass-spring,spring-slow (omega 0.2),16.67,A-readout,1,20260839,350,1.677
mass-spring,spring-slow (omega 0.2),16.67,B-drive,1,20260839,350,1.677
mass-spring,spring-slow (omega 0.2),16.67,A-readout,2,20260839,350,2.307
mass-spring,spring-slow (omega 0.2),16.67,B-drive,2,20260839,350,1.827
mass-spring,spring-slow (omega 0.2),16.67,A-readout,4,20260839,350,1.66
mass-spring,spring-slow (omega 0.2),16.67,B-drive,4,20260839,350,3.306
mass-spring,spring-slow (omega 0.2),16.67,A-readout,8,20260839,350,0.99
mass-spring,spring-slow (omega 0.2),16.67,B-drive,8,20260839,350,6.747
