family,substrate,tau_drive_steps,arm,band_k,seed,n,ipc
mass-spring,spring-mid (omega 0.6),5.56,A-readout,2,20260831,350,2.697
mass-spring,spring-mid (omega 0.6),5.56,B-drive,2,20260831,350,4.665
mass-spring,spring-mid (omega 0.6),5.56,A-readout,4,20260831,350,1.77
mass-spring,spring-mid (omega 0.6),5.56,B-drive,4,20260831,350,5.822
mass-spring,spring-mid (omega 0.6),5.56,A-readout,8,20260831,350,1.182
mass-spring,spring-mid (omega 0.6),5.56,B-drive,8,20260831,350,4.017
mass-spring,spring-slow (omega 0.2),16.67,A-readout,1,20260831,350,1.957
mass-spring,spring-slow (omega 0.2),16.67,B-drive,1,20260831,350,1.957
mass-spring,spring-slow (omega 0.2),16.67,A-readout,2,20260831,350,1.174
mass-spring,spring-slow (omega 0.2),16.67,B-drive,2,20260831,350,3.523
mass-spring,spring-slow (omega 0.2),16.67,A-readout,4,20260831,350,1.262
mass-spring,spring-slow (omega 0.2),16.67,B-drive,4,20260831,350,4.145
mass-spring,spring-slow (omega 0.2),16.67,A-readout,8,20260831,350,1.57
mass-spring,spring-slow (omega 0.2),16.67,B-drive,8,20260831,350,5.775
esn,esn-fast (leak 1.0),1.0,A-readout,1,20260832,350,8.253
esn,esn-fast (leak 1.0),1.0,B-drive,1,20260832,350,8.253
esn,esn-fast (leak 1.0),1.0,A-readout,2,20260832,350,5.194
esn,esn-fast (leak 1.0),1.0,B-drive,2,20260832,350,6.586
esn,esn-fast (leak 1.0),1.0,A-readout,4,20260832,350,3.086
esn,esn-fast (leak 1.0),1.0,B-drive,4,20260832,350,3.884
esn,esn-fast (leak 1.0),1.0,A-readout,8,20260832,350,1.481
esn,esn-fast (leak 1.0),1.0,B-drive,8,20260832,350,2.189
esn,esn-mid (leak 0.3),2.8,A-readout,1,20260832,350,3.544
esn,esn-mid (leak 0.3),2.8,B-drive,1,20260832,350,3.544
esn,esn-mid (leak 0.3),2.8,A-readout,2,20260832,350,1.748
esn,esn-mid (leak 0.3),2.8,B-drive,2,20260832,350,4.453
esn,esn-mid (leak 0.3),2.8,A-readout,4,20260832,350,1.128
esn,esn-mid (leak 0.3),2.8,B-drive,4,20260832,350,5.076
esn,esn-mid (leak 0.3),2.8,A-readout,8,20260832,350,0.861
esn,esn-mid (leak 0.3),2.8,B-drive,8,20260832,350,4.472
esn,esn-slow (leak 0.1),9.5,A-readout,1,20260832,350,2.251
esn,esn-slow (leak 0.1),9.5,B-drive,1,20260832,350,2.251
esn,esn-slow (leak 0.1),9.5,A-readout,2,20260832,350,1.11
esn,esn-slow (leak 0.1),9.5,B-drive,2,20260832,350,2.775
esn,esn-slow (leak 0.1),9.5,A-readout,4,20260832,350,1.08
esn,esn-slow (leak 0.1),9.5,B-drive,4,20260832,350,3.579
esn,esn-slow (leak 0.1),9.5,A-readout,8,20260832,350,0.716
esn,esn-slow (leak 0.1),9.5,B-drive,8,20260832,350,4.353
mass-spring,spring-fast (omega 2.0),1.67,A-readout,1,20260832,350,5.146
mass-spring,spring-fast (omega 2.0),1.67,B-drive,1,20260832,350,5.146
mass-spring,spring-fast (omega 2.0),1.67,A-readout,2,20260832,350,2.741
mass-spring,spring-fast (omega 2.0),1.67,B-drive,2,20260832,350,3.169
mass-spring,spring-fast (omega 2.0),1.67,A-readout,4,20260832,350,1.613
mass-spring,spring-fast (omega 2.0),1.67,B-drive,4,20260832,350,1.862
mass-spring,spring-fast (omega 2.0),1.67,A-readout,8,20260832,350,0.997
mass-spring,spring-fast (omega 2.0),1.67,B-drive,8,20260832,350,1.053
mass-spring,spring-mid (omega 0.6),5.56,A-readout,1,20260832,350,4.829
mass-spring,spring-mid (omega 0.6),5.56,B-drive,1,20260832,350,4.829
mass-spring,spring-mid (omega 0.6),5.56,A-readout,2,20260832,350,3.752
mass-spring,spring-mid (omega 0.6),5.56,B-drive,2,20260832,350,6.046
mass-spring,spring-mid (omega 0.6),5.56,A-readout,4,20260832,350,2.529
mass-spring,spring-mid (omega 0.6),5.56,B-drive,4,20260832,350,4.479
mass-spring,spring-mid (omega 0.6),5.56,A-readout,8,20260832,350,2.111
mass-spring,spring-mid (omega 0.6),5.56,B-drive,8,20260832,350,3.125
mass-spring,spring-slow (omega 0.2),16.67,A-readout,1,20260832,350,2.401
mass-spring,spring-slow (omega 0.2),16.67,B-drive,1,20260832,350,2.401
mass-spring,spring-slow (omega 0.2),16.67,A-readout,2,20260832,350,1.369
mass-spring,spring-slow (omega 0.2),16.67,B-drive,2,20260832,350,3.806
mass-spring,spring-slow (omega 0.2),16.67,A-readout,4,20260832,350,0.984
mass-spring,spring-slow (omega 0.2),16.67,B-drive,4,20260832,350,5.362
mass-spring,spring-slow (omega 0.2),16.67,A-readout,8,20260832,350,1.235
mass-spring,spring-slow (omega 0.2),16.67,B-drive,8,20260832,350,5.787
esn,esn-fast (leak 1.0),1.0,A-readout,1,20260833,350,7.758
esn,esn-fast (leak 1.0),1.0,B-drive,1,20260833,350,7.758
esn,esn-fast (leak 1.0),1.0,A-readout,2,20260833,350,3.827
esn,esn-fast (leak 1.0),1.0,B-drive,2,20260833,350,5.295
esn,esn-fast (leak 1.0),1.0,A-readout,4,20260833,350,2.054
esn,esn-fast (leak 1.0),1.0,B-drive,4,20260833,350,3.118
esn,esn-fast (leak 1.0),1.0,A-readout,8,20260833,350,1.21
esn,esn-fast (leak 1.0),1.0,B-drive,8,20260833,350,1.771
esn,esn-mid (leak 0.3),2.8,A-readout,1,20260833,350,1.972
esn,esn-mid (leak 0.3),2.8,B-drive,1,20260833,350,1.972
esn,esn-mid (leak 0.3),2.8,A-readout,2,20260833,350,2.776
esn,esn-mid (leak 0.3),2.8,B-drive,2,20260833,350,2.558
esn,esn-mid (leak 0.3),2.8,A-readout,4,20260833,350,1.081
esn,esn-mid (leak 0.3),2.8,B-drive,4,20260833,350,2.857
esn,esn-mid (leak 0.3),2.8,A-readout,8,20260833,350,0.798
esn,esn-mid (leak 0.3),2.8,B-drive,8,20260833,350,2.494
esn,esn-slow (leak 0.1),9.5,A-readout,1,20260833,350,1.314
esn,esn-slow (leak 0.1),9.5,B-drive,1,20260833,350,1.314
esn,esn-slow (leak 0.1),9.5,A-readout,2,20260833,350,1.285
esn,esn-slow (leak 0.1),9.5,B-drive,2,20260833,350,1.603
esn,esn-slow (leak 0.1),9.5,A-readout,4,20260833,350,0.784
esn,esn-slow (leak 0.1),9.5,B-drive,4,20260833,350,1.842
esn,esn-slow (leak 0.1),9.5,A-readout,8,20260833,350,1.315
esn,esn-slow (leak 0.1),9.5,B-drive,8,20260833,350,2.453
mass-spring,spring-fast (omega 2.0),1.67,A-readout,1,20260833,350,5.841
mass-spring,spring-fast (omega 2.0),1.67,B-drive,1,20260833,350,5.841
mass-spring,spring-fast (omega 2.0),1.67,A-readout,2,20260833,350,2.095
mass-spring,spring-fast (omega 2.0),1.67,B-drive,2,20260833,350,3.692
mass-spring,spring-fast (omega 2.0),1.67,A-readout,4,20260833,350,1.586
mass-spring,spring-fast (omega 2.0),1.67,B-drive,4,20260833,350,2.461
mass-spring,spring-fast (omega 2.0),1.67,A-readout,8,20260833,350,0.952
mass-spring,spring-fast (omega 2.0),1.67,B-drive,8,20260833,350,1.555
mass-spring,spring-mid (omega 0.6),5.56,A-readout,1,20260833,350,3.057
mass-spring,spring-mid (omega 0.6),5.56,B-drive,1,20260833,350,3.057
mass-spring,spring-mid (omega 0.6),5.56,A-readout,2,20260833,350,4.309
mass-spring,spring-mid (omega 0.6),5.56,B-drive,2,20260833,350,4.744
mass-spring,spring-mid (omega 0.6),5.56,A-readout,4,20260833,350,1.752
mass-spring,spring-mid (omega 0.6),5.56,B-drive,4,20260833,350,5.831
mass-spring,spring-mid (omega 0.6),5.56,A-readout,8,20260833,350,1.307
mass-spring,spring-mid (omega 0.6),5.56,B-drive,8,20260833,350,3.906
mass-spring,spring-slow (omega 0.2),16.67,A-readout,1,20260833,350,1.971
mass-spring,spring-slow (omega 0.2),16.67,B-drive,1,20260833,350,1.971
mass-spring,spring-slow (omega 0.2),16.67,A-readout,2,20260833,350,2.628
mass-spring,spring-slow (omega 0.2),16.67,B-drive,2,20260833,350,2.815
mass-spring,spring-slow (omega 0.2),16.67,A-readout,4,20260833,350,1.03
mass-spring,spring-slow (omega 0.2),16.67,B-drive,4,20260833,350,3.701
mass-spring,spring-slow (omega 0.2),16.67,A-readout,8,20260833,350,0.758
mass-spring,spring-slow (omega 0.2),16.67,B-drive,8,20260833,350,6.221
esn,esn-fast (leak 1.0),1.0,A-readout,1,20260834,350,7.768
esn,esn-fast (leak 1.0),1.0,B-drive,1,20260834,350,7.768
esn,esn-fast (leak 1.0),1.0,A-readout,2,20260834,350,5.221
esn,esn-fast (leak 1.0),1.0,B-drive,2,20260834,350,6.244
esn,esn-fast (leak 1.0),1.0,A-readout,4,20260834,350,2.381
esn,esn-fast (leak 1.0),1.0,B-drive,4,20260834,350,3.626
esn,esn-fast (leak 1.0),1.0,A-readout,8,20260834,350,1.504
esn,esn-fast (leak 1.0),1.0,B-drive,8,20260834,350,2.122
esn,esn-mid (leak 0.3),2.8,A-readout,1,20260834,350,3.083
esn,esn-mid (leak 0.3),2.8,B-drive,1,20260834,350,3.083
esn,esn-mid (leak 0.3),2.8,A-readout,2,20260834,350,2.43
esn,esn-mid (leak 0.3),2.8,B-drive,2,20260834,350,4.303
esn,esn-mid (leak 0.3),2.8,A-readout,4,20260834,350,1.426
esn,esn-mid (leak 0.3),2.8,B-drive,4,20260834,350,4.972
esn,esn-mid (leak 0.3),2.8,A-readout,8,20260834,350,1.081
esn,esn-mid (leak 0.3),2.8,B-drive,8,20260834,350,4.41
esn,esn-slow (leak 0.1),9.5,A-readout,1,20260834,350,1.951
esn,esn-slow (leak 0.1),9.5,B-drive,1,20260834,350,1.951
esn,esn-slow (leak 0.1),9.5,A-readout,2,20260834,350,0.949
esn,esn-slow (leak 0.1),9.5,B-drive,2,20260834,350,2.432
esn,esn-slow (leak 0.1),9.5,A-readout,4,20260834,350,0.963
esn,esn-slow (leak 0.1),9.5,B-drive,4,20260834,350,3.215
esn,esn-slow (leak 0.1),9.5,A-readout,8,20260834,350,0.947
esn,esn-slow (leak 0.1),9.5,B-drive,8,20260834,350,4.256
