substrate,arm,band_k,seed,n,m_streams,ipc,mc,kr,gr
esn-slow (leak 0.1),B-drive,8,20260832,350,60,4.353,3.028,27.0,8.0
esn-fast (leak 1.0),A-readout,1,20260833,350,60,7.758,4.725,56.0,11.0
esn-fast (leak 1.0),B-drive,1,20260833,350,60,7.758,4.725,56.0,11.0
esn-fast (leak 1.0),A-readout,2,20260833,350,60,3.827,2.058,56.0,13.0
esn-fast (leak 1.0),B-drive,2,20260833,350,60,5.295,2.474,42.0,8.0
esn-fast (leak 1.0),A-readout,4,20260833,350,60,2.054,0.715,55.0,12.0
esn-fast (leak 1.0),B-drive,4,20260833,350,60,3.118,1.514,26.0,4.0
esn-fast (leak 1.0),A-readout,8,20260833,350,60,1.21,0.145,55.0,12.0
esn-fast (leak 1.0),B-drive,8,20260833,350,60,1.771,0.92,13.0,3.0
esn-mid (leak 0.3),A-readout,1,20260833,350,60,1.972,0.608,26.0,8.0
esn-mid (leak 0.3),B-drive,1,20260833,350,60,1.972,0.608,26.0,8.0
esn-mid (leak 0.3),A-readout,2,20260833,350,60,2.776,1.177,27.0,9.0
esn-mid (leak 0.3),B-drive,2,20260833,350,60,2.558,1.136,27.0,7.0
esn-mid (leak 0.3),A-readout,4,20260833,350,60,1.081,0.194,26.0,10.0
esn-mid (leak 0.3),B-drive,4,20260833,350,60,2.857,1.393,23.0,6.0
esn-mid (leak 0.3),A-readout,8,20260833,350,60,0.798,0.198,27.0,9.0
esn-mid (leak 0.3),B-drive,8,20260833,350,60,2.494,1.335,17.0,4.0
esn-slow (leak 0.1),A-readout,1,20260833,350,60,1.314,0.386,19.0,7.0
esn-slow (leak 0.1),B-drive,1,20260833,350,60,1.314,0.386,19.0,7.0
esn-slow (leak 0.1),A-readout,2,20260833,350,60,1.285,0.69,19.0,8.0
esn-slow (leak 0.1),B-drive,2,20260833,350,60,1.603,0.441,20.0,6.0
esn-slow (leak 0.1),A-readout,4,20260833,350,60,0.784,0.331,19.0,10.0
esn-slow (leak 0.1),B-drive,4,20260833,350,60,1.842,0.595,24.0,7.0
esn-slow (leak 0.1),A-readout,8,20260833,350,60,1.315,0.217,20.0,7.0
esn-slow (leak 0.1),B-drive,8,20260833,350,60,2.453,0.966,22.0,6.0
esn-fast (leak 1.0),A-readout,1,20260834,350,60,7.768,5.502,57.0,13.0
esn-fast (leak 1.0),B-drive,1,20260834,350,60,7.768,5.502,57.0,13.0
esn-fast (leak 1.0),A-readout,2,20260834,350,60,5.221,2.785,56.0,12.0
esn-fast (leak 1.0),B-drive,2,20260834,350,60,6.244,3.511,48.0,8.0
esn-fast (leak 1.0),A-readout,4,20260834,350,60,2.381,1.291,56.0,13.0
esn-fast (leak 1.0),B-drive,4,20260834,350,60,3.626,1.91,30.0,6.0
esn-fast (leak 1.0),A-readout,8,20260834,350,60,1.504,0.336,57.0,12.0
esn-fast (leak 1.0),B-drive,8,20260834,350,60,2.122,0.976,17.0,4.0
esn-mid (leak 0.3),A-readout,1,20260834,350,60,3.083,1.699,30.0,12.0
esn-mid (leak 0.3),B-drive,1,20260834,350,60,3.083,1.699,30.0,12.0
esn-mid (leak 0.3),A-readout,2,20260834,350,60,2.43,0.958,30.0,9.0
esn-mid (leak 0.3),B-drive,2,20260834,350,60,4.303,2.372,31.0,9.0
esn-mid (leak 0.3),A-readout,4,20260834,350,60,1.426,0.67,31.0,13.0
esn-mid (leak 0.3),B-drive,4,20260834,350,60,4.972,3.23,30.0,7.0
esn-mid (leak 0.3),A-readout,8,20260834,350,60,1.081,0.171,29.0,13.0
esn-mid (leak 0.3),B-drive,8,20260834,350,60,4.41,2.449,23.0,6.0
esn-slow (leak 0.1),A-readout,1,20260834,350,60,1.951,0.842,20.0,12.0
esn-slow (leak 0.1),B-drive,1,20260834,350,60,1.951,0.842,20.0,12.0
esn-slow (leak 0.1),A-readout,2,20260834,350,60,0.949,0.328,20.0,9.0
esn-slow (leak 0.1),B-drive,2,20260834,350,60,2.432,1.34,23.0,11.0
esn-slow (leak 0.1),A-readout,4,20260834,350,60,0.963,0.407,21.0,11.0
esn-slow (leak 0.1),B-drive,4,20260834,350,60,3.215,1.888,25.0,10.0
esn-slow (leak 0.1),A-readout,8,20260834,350,60,0.947,0.174,21.0,11.0
esn-slow (leak 0.1),B-drive,8,20260834,350,60,4.256,2.642,28.0,8.0
esn-fast (leak 1.0),A-readout,1,20260835,350,60,7.745,4.707,57.0,12.0
esn-fast (leak 1.0),B-drive,1,20260835,350,60,7.745,4.707,57.0,12.0
esn-fast (leak 1.0),A-readout,2,20260835,350,60,4.996,2.516,56.0,14.0
esn-fast (leak 1.0),B-drive,2,20260835,350,60,4.754,2.585,48.0,7.0
esn-fast (leak 1.0),A-readout,4,20260835,350,60,2.45,0.929,55.0,11.0
esn-fast (leak 1.0),B-drive,4,20260835,350,60,2.777,1.488,30.0,4.0
esn-fast (leak 1.0),A-readout,8,20260835,350,60,1.345,0.12,56.0,11.0
esn-fast (leak 1.0),B-drive,8,20260835,350,60,1.909,0.696,16.0,4.0
esn-mid (leak 0.3),A-readout,1,20260835,350,60,1.902,0.655,29.0,11.0
esn-mid (leak 0.3),B-drive,1,20260835,350,60,1.902,0.655,29.0,11.0
esn-mid (leak 0.3),A-readout,2,20260835,350,60,1.976,1.22,30.0,12.0
