substrate,arm,band_k,max_delay,basis_terms,samples_per_term,feasible,seed,n,ipc
esn-mid (leak 0.3),B-drive,8,16,152,2.303,1,20260830,350,6.201
esn-mid (leak 0.3),B-drive,8,32,560,0.625,0,20260830,350,13.509
esn-slow (leak 0.1),A-readout,1,2,5,70.0,1,20260830,350,0.476
esn-slow (leak 0.1),A-readout,1,4,14,25.0,1,20260830,350,0.736
esn-slow (leak 0.1),A-readout,1,8,44,7.955,1,20260830,350,1.461
esn-slow (leak 0.1),A-readout,1,16,152,2.303,1,20260830,350,3.974
esn-slow (leak 0.1),A-readout,1,32,560,0.625,0,20260830,350,11.723
esn-slow (leak 0.1),B-drive,1,2,5,70.0,1,20260830,350,0.476
esn-slow (leak 0.1),B-drive,1,4,14,25.0,1,20260830,350,0.736
esn-slow (leak 0.1),B-drive,1,8,44,7.955,1,20260830,350,1.461
esn-slow (leak 0.1),B-drive,1,16,152,2.303,1,20260830,350,3.974
esn-slow (leak 0.1),B-drive,1,32,560,0.625,0,20260830,350,11.723
esn-slow (leak 0.1),A-readout,2,2,5,70.0,1,20260830,350,0.479
esn-slow (leak 0.1),A-readout,2,4,14,25.0,1,20260830,350,0.911
esn-slow (leak 0.1),A-readout,2,8,44,7.955,1,20260830,350,1.956
esn-slow (leak 0.1),A-readout,2,16,152,2.303,1,20260830,350,4.144
esn-slow (leak 0.1),A-readout,2,32,560,0.625,0,20260830,350,11.662
esn-slow (leak 0.1),B-drive,2,2,5,70.0,1,20260830,350,0.571
esn-slow (leak 0.1),B-drive,2,4,14,25.0,1,20260830,350,1.062
esn-slow (leak 0.1),B-drive,2,8,44,7.955,1,20260830,350,1.923
esn-slow (leak 0.1),B-drive,2,16,152,2.303,1,20260830,350,4.373
esn-slow (leak 0.1),B-drive,2,32,560,0.625,0,20260830,350,12.649
esn-slow (leak 0.1),A-readout,4,2,5,70.0,1,20260830,350,0.18
esn-slow (leak 0.1),A-readout,4,4,14,25.0,1,20260830,350,0.435
esn-slow (leak 0.1),A-readout,4,8,44,7.955,1,20260830,350,1.229
esn-slow (leak 0.1),A-readout,4,16,152,2.303,1,20260830,350,3.783
esn-slow (leak 0.1),A-readout,4,32,560,0.625,0,20260830,350,10.673
esn-slow (leak 0.1),B-drive,4,2,5,70.0,1,20260830,350,0.928
esn-slow (leak 0.1),B-drive,4,4,14,25.0,1,20260830,350,1.62
esn-slow (leak 0.1),B-drive,4,8,44,7.955,1,20260830,350,2.783
esn-slow (leak 0.1),B-drive,4,16,152,2.303,1,20260830,350,5.3
esn-slow (leak 0.1),B-drive,4,32,560,0.625,0,20260830,350,13.622
esn-slow (leak 0.1),A-readout,8,2,5,70.0,1,20260830,350,0.294
esn-slow (leak 0.1),A-readout,8,4,14,25.0,1,20260830,350,0.581
esn-slow (leak 0.1),A-readout,8,8,44,7.955,1,20260830,350,1.105
esn-slow (leak 0.1),A-readout,8,16,152,2.303,1,20260830,350,2.399
esn-slow (leak 0.1),A-readout,8,32,560,0.625,0,20260830,350,9.279
esn-slow (leak 0.1),B-drive,8,2,5,70.0,1,20260830,350,1.386
