hold,arm,variant,tau_drive_steps,band_k,axis,n_states,mean,ci_lo,ci_hi
drive,A-readout,omega 0.2 (slow),16.67,2,KR,61,49.3,47.949,50.651
drive,A-readout,omega 0.2 (slow),16.67,2,GR,61,24.6,22.941,26.259
drive,A-readout,omega 0.2 (slow),16.67,4,KR,31,31.0,31.0,31.0
drive,A-readout,omega 0.2 (slow),16.67,4,GR,31,23.3,21.681,24.919
drive,A-readout,omega 0.2 (slow),16.67,8,KR,16,16.0,16.0,16.0
drive,A-readout,omega 0.2 (slow),16.67,8,GR,16,16.0,16.0,16.0
drive,B-drive,omega 2.0 (fast),1.67,1,KR,120,60.0,60.0,60.0
drive,B-drive,omega 2.0 (fast),1.67,1,GR,120,60.0,60.0,60.0
drive,B-drive,omega 2.0 (fast),1.67,2,KR,120,60.0,60.0,60.0
drive,B-drive,omega 2.0 (fast),1.67,2,GR,120,58.6,57.634,59.566
drive,B-drive,omega 2.0 (fast),1.67,4,KR,120,60.0,60.0,60.0
drive,B-drive,omega 2.0 (fast),1.67,4,GR,120,41.9,38.588,45.212
drive,B-drive,omega 2.0 (fast),1.67,8,KR,120,59.6,58.909,60.291
drive,B-drive,omega 2.0 (fast),1.67,8,GR,120,20.2,18.329,22.071
drive,B-drive,omega 0.6 (mid),5.56,1,KR,120,60.0,60.0,60.0
drive,B-drive,omega 0.6 (mid),5.56,1,GR,120,53.7,51.462,55.938
drive,B-drive,omega 0.6 (mid),5.56,2,KR,120,60.0,60.0,60.0
drive,B-drive,omega 0.6 (mid),5.56,2,GR,120,60.0,60.0,60.0
drive,B-drive,omega 0.6 (mid),5.56,4,KR,120,60.0,60.0,60.0
drive,B-drive,omega 0.6 (mid),5.56,4,GR,120,60.0,60.0,60.0
drive,B-drive,omega 0.6 (mid),5.56,8,KR,120,60.0,60.0,60.0
drive,B-drive,omega 0.6 (mid),5.56,8,GR,120,58.1,56.575,59.625
drive,B-drive,omega 0.2 (slow),16.67,1,KR,120,51.3,49.867,52.733
drive,B-drive,omega 0.2 (slow),16.67,1,GR,120,25.8,24.087,27.513
drive,B-drive,omega 0.2 (slow),16.67,2,KR,120,60.0,60.0,60.0
drive,B-drive,omega 0.2 (slow),16.67,2,GR,120,40.9,39.233,42.567
drive,B-drive,omega 0.2 (slow),16.67,4,KR,120,60.0,60.0,60.0
drive,B-drive,omega 0.2 (slow),16.67,4,GR,120,59.0,58.046,59.954
drive,B-drive,omega 0.2 (slow),16.67,8,KR,120,60.0,60.0,60.0
drive,B-drive,omega 0.2 (slow),16.67,8,GR,120,60.0,60.0,60.0
